id,ascend_shuttle,in_orbit,descend_shuttle,hours_mission,total_hrs_sum,field21,eva_hrs_mission,total_eva_hrs
206,Soyuz T­3,Salyut 6,Soyuz T­3,307.0,6454.37,0,0.0,20.93
207,Soyuz T­8,Soyuz T­8,Soyuz T­8,48.0,6454.37,0,0.0,20.93
208,Soyuz T­11,Salyut 7,Soyuz T­10,189.0,6454.37,0,0.0,20.93
209,Soyuz TM­10,Mir,Soyuz TM­10,3140.0,6454.37,1,2.75,20.93
210,Soyuz TM­21,Mir,STS­71,2768.0,6454.37,3,18.18,20.93
211,Soyuz T­4,Salyut 6,Soyuz T­4,1793.0,6065.63,1,5.0,5.0
212,Soyuz T­8,Soyuz T­8,Soyuz T­8,48.0,8950.87,0,0.0,31.82
213,Soyuz TM­8,Mir,Soyuz TM­8,3990.0,8950.87,5,17.6,31.82
214,Soyuz TM­17,Mir,Soyuz TM­17,4721.0,8950.87,5,14.22,31.82
215,Soyuz T­7,Salyut 7,Soyuz T­5,189.0,473.1,0,0.0,3.58
216,Soyuz T­12,Salyut 7,Soyuz T­12,283.0,473.1,1,3.58,3.58
217,STS-5,STS-5,STS-5,122.0,290.0,0,0.0,0.0
218,STS-51-B,STS-51-B,STS-51-B,168.0,290.0,0,0.0,0.0
219,STS-5,STS-5,STS-5,122.0,314.0,0,0.0,11.7
220,STS-51-A,STS-51-A,STS-51-A,191.0,314.0,2,11.7,11.7
