Organisation,Details,Rocket_Status,Price
SpaceX,Falcon 9 Block 5 | Starlink Group 4-23,Active,67.0
CASC,Long March 2D | Beijing-3B,Active,29.75
CASIC,Kuaizhou 1A | Chuangxin-16,Active,5.8
SpaceX,Falcon 9 Block 5 | Starlink Group 4-27,Active,67.0
CASC,Long March 2D | Yaogan 35 Group 04,Active,29.75
SpaceX,Falcon 9 Block 5 | Starlink Group 3-3,Active,67.0
CASC,"Long March 6 | Jilin-1 High Resolution 03D-09, 35 to 43 & Infrared A01 to 06",Active,19.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-26,Active,67.0
Roscosmos,Soyuz 2.1b/Fregat-M | Khayyam and other satellites,Active,25.0
Galactic Energy,Ceres-1 | White is the new black,Active,4.38
ISRO,SSLV | EOS-02 & AzaadiSAT,Active,
SpaceX,Falcon 9 Block 5 | Korean Pathfinder Lunar Orbiter (KPLO),Active,67.0
CASC,Long March 2F/T | Experimental Spaceplane (CSSHQ),Active,
Blue Origin,New Shepard | NS-22,Active,
ULA,Atlas V 421 | SBIRS GEO-6,Active,123.0
Rocket Lab,Electron/Curie | Antipodean Adventure (NROL-199),Active,7.5
CASC,Long March 4B | Terrestrial Ecosystem Carbon Inventory Satellite (TECIS),Active,64.68
VKS RF,Soyuz 2.1v/Volga | Cosmos 2558,Active,
CASC,Long March 2D | Yaogan 35 Group 03,Active,29.75
CAS Space,Kinetica 1 | Demo Flight,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 4-25,Active,67.0
CASC,Long March 5B | Wentian,Active,
SpaceX,Falcon 9 Block 5 | Starlink Group 3-2,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-22,Active,67.0
CASC,Long March 2C | SuperView Neo 2-01 & 02,Active,30.8
SpaceX,Falcon 9 Block 5 | CRS SpX-25,Active,67.0
ESA,Vega-C | LARES 2 & SSMS n°4,Active,
Rocket Lab,Electron/Curie | Wise One Looks Ahead (NROL-162),Active,7.5
CASC,Long March 3B/E | Tianlian-2-03,Active,29.15
SpaceX,Falcon 9 Block 5 | Starlink Group 3-1,Active,67.0
SpaceX,Falcon 9 Block 5 | Starlink Group 4-21,Active,67.0
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2557,Active,25.0
