Name,Baths,Balcony
"Arulappa nagar,Dharkast, Chennai",3,Yes
Real Value Neelkamal,3,No
"gains,Annamalai Colony, Saligramam,Chennai",3,No
"Green Way Paradise,Kadapperi, Tambaram Sanatoruim,Chennai",3,No
"Villa Sakuntha,Pandur, Kumuzhi R.F.,Chennai",3,No
"royal cample,Thirumudivakkam, Chennai",3,No
"Perumathunallur, Chennai",3,Yes
COLTS VIEW APARTMENTS,2,No
"Vantage Nest,Saraswathi Nagar, Neelankarai,Chennai",3,Yes
"Kottur,Surya Nagar, Kotturpuram,Chennai",3,No
"Sri sai ganesh homes,Nanmangalam, Chennai",2,Yes
Amarprakash Palm Riviera,3,Yes
DLF Commanders Court,4,Yes
Vijay Shanthi Lotus Pond,2,No
Sugandha Apartment,2,Yes
"TVS Industries, Padi,Chennai",3,Yes
Swarna Lakshmi by Swarna Construction,3,No
"Rajaram Mehta Nagar, Aminjikarai,Chennai",3,Yes
Radiance Icon,3,No
Purva Windermere,4,Yes
"Balaji avenue ,Kumananchavadi, Chennai",2,No
"Balaji avenue ,Kumananchavadi, Chennai",2,No
"Sugam flat,Subbiah Nagar, Iyyappanthangal,Chennai",2,Yes
"Manikandan Nagar, Thiruneermalai,Chennai",2,Yes
Nakar Navkar Residency by Nakar Homes,3,Yes
"Ayyavoo Colony, Aminjikarai,Chennai",3,Yes
Aakam Courtyard Hygrevar,3,No
Jamals Luxor,3,Yes
"SRI RAGHAVENDRA,Noothencheri, Vengaivasal,Chennai",2,No
Shamrock Apartment,3,Yes
TVH Svasti,2,Yes
Suraj Enclave - 2,3,Yes
Macro Apoorva,2,No
"Vivekananda Nagar, Thoraipakkam,Chennai",5,Yes
Sri Sai Flats,2,No
"Arun Excellence Niranjana,Thandalam, Chennai",2,No
"BRICS CONSTRUCTION,Ambattur, Chennai",3,No
"swetha,Velachery, Chennai",3,Yes
"BRICS CONSTRUCTION,JAK Nagar, Thirumullaivoyal,Chennai",3,Yes
Altis Oceanique,3,Yes
