Neo Reference ID,Close Approach Date,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles)
3547678,2015-04-22,1429686000000,24.7159686884,88977.4872781208,55287.1503590079,0.4436288157,172.5716094971,66365928.0,41237876.0
3699514,2015-04-22,1429686000000,24.1423252926,86912.3710534522,54003.9674470742,0.4639169998,180.4637145996,69400992.0,43123780.0
3763945,2015-04-22,1429686000000,4.7482311413,17093.6321087711,10621.3182400306,0.1951780216,75.9242477417,29198216.0,18142930.0
3772975,2015-04-22,1429686000000,9.1579297572,32968.5471260037,20485.3730739327,0.2712301913,105.5085449219,40575460.0,25212422.0
2434500,2015-05-08,1431068400000,11.3818668649,40974.7207137322,25460.0979901521,0.1701267418,66.1792984009,25450598.0,15814268.0
3409648,2015-05-08,1431068400000,23.906951244,86065.0244782902,53477.4592376354,0.382927822,148.9589233398,57285188.0,35595368.0
3715299,2015-05-08,1431068400000,15.1537060223,54553.3416803797,33897.3250013448,0.2140380616,83.2608032227,32019638.0,19896080.0
3719182,2015-05-08,1431068400000,15.1470755493,54529.4719774786,33882.4932962283,0.0090910578,3.5364215374,1360002.875,845066.625
3719730,2015-05-08,1431068400000,19.4325910533,69957.3277918336,43468.7629270979,0.1743396974,67.818145752,26080848.0,16205887.0
3719244,2015-05-15,1431673200000,24.469714336,88090.971609654,54736.303998232,0.0140534028,5.46677351,2102359.0,1306345.375
3720001,2015-05-15,1431673200000,10.1079930969,36388.7751489509,22610.5697585245,0.1796943099,69.9010848999,26881886.0,16703630.0
2434632,2015-05-15,1431673200000,14.5405266841,52345.8960628982,32525.7041397492,0.2759455215,107.3428039551,41280860.0,25650738.0
2438317,2015-05-15,1431673200000,11.9809694479,43131.4900123194,26800.2305579326,0.4434667129,172.5085601807,66341680.0,41222808.0
3565066,2015-05-15,1431673200000,22.3281710832,80381.4158994548,49945.8858959696,0.4982447463,193.817199707,74536352.0,46314740.0
3605857,2015-05-15,1431673200000,12.4631485828,44867.3348981567,27878.817064913,0.1148514949,44.677230835,17181540.0,10676114.0
3716457,2015-05-15,1431673200000,7.132857926,25678.2885336634,15955.4898947088,0.0752476445,29.2713336945,11256888.0,6994705.5
3716636,2015-05-15,1431673200000,12.409051656,44672.5859614506,27757.8076492136,0.1188898793,46.2481613159,17785672.0,11051504.0
3718321,2015-05-15,1431673200000,10.3659722483,37317.5000937814,23187.643322161,0.069391352,26.9932365417,10380799.0,6450329.5
3718390,2015-05-15,1431673200000,5.496262184,19786.5438624409,12294.588879415,0.2065718243,80.3564376831,30902704.0,19202050.0
3719184,2015-05-15,1431673200000,13.7763295665,49594.7864394446,30816.2716073316,0.00207702,0.8079608083,310717.78125,193071.078125
3719227,2015-05-15,1431673200000,5.6879328975,20476.558430936,12723.337098378,0.0160096832,6.2277665138,2395014.5,1488193.0
3720898,2015-05-15,1431673200000,7.9206110264,28514.1996950691,17717.6148049722,0.0056298404,2.190007925,842212.125,523326.34375
3579078,2015-05-15,1431673200000,22.3633428562,80508.0342822664,50024.5616350004,0.1944372012,75.6360702515,29087392.0,18074068.0
2433953,2015-05-22,1432278000000,12.4137060271,44689.341697533,27768.2190120032,0.193908178,75.4302825928,29008252.0,18024892.0
3143121,2015-05-22,1432278000000,18.3294686286,65986.0870629262,41001.1883752943,0.322740172,125.5459213257,48281244.0,30000574.0
3328632,2015-05-22,1432278000000,18.2704768555,65773.7166798472,40869.2296780973,0.345001967,134.2057647705,51611560.0,32069936.0
3588065,2015-05-22,1432278000000,11.0463970658,39767.0294368487,24709.6855964686,0.0658008659,25.5965385437,9843670.0,6116573.0
